top,jungle,mid,bot,support
Gragas,Ambessa,Brand,Corki,Amumu
Gragas,Ambessa,Brand,Corki,Blitzcrank
Gragas,Ambessa,Brand,Corki,Braum
Gragas,Ambessa,Brand,Corki,Leona
Gragas,Ambessa,Brand,Corki,Maokai
Gragas,Ambessa,Brand,Corki,Nautilus
Gragas,Ambessa,Brand,Corki,Rell
Gragas,Ambessa,Brand,Corki,Tahm Kench
Gragas,Ambessa,Brand,Ezreal,Alistar
Gragas,Ambessa,Brand,Ezreal,Amumu
Gragas,Ambessa,Brand,Ezreal,Blitzcrank
Gragas,Ambessa,Brand,Ezreal,Braum
Gragas,Ambessa,Brand,Ezreal,Leona
Gragas,Ambessa,Brand,Ezreal,Maokai
Gragas,Ambessa,Brand,Ezreal,Nautilus
Gragas,Ambessa,Brand,Ezreal,Rell
Gragas,Ambessa,Brand,Ezreal,Tahm Kench
Gragas,Ambessa,Brand,Jhin,Alistar
Gragas,Ambessa,Brand,Jhin,Amumu
Gragas,Ambessa,Brand,Jhin,Blitzcrank
Gragas,Ambessa,Brand,Jhin,Braum
Gragas,Ambessa,Brand,Jhin,Leona
Gragas,Ambessa,Brand,Jhin,Maokai
Gragas,Ambessa,Brand,Jhin,Nautilus
Gragas,Ambessa,Brand,Jhin,Rell
Gragas,Ambessa,Brand,Jhin,Tahm Kench
Gragas,Ambessa,Brand,Kai'Sa,Alistar
Gragas,Ambessa,Brand,Kai'Sa,Amumu
Gragas,Ambessa,Brand,Kai'Sa,Blitzcrank
Gragas,Ambessa,Brand,Kai'Sa,Braum
Gragas,Ambessa,Brand,Kai'Sa,Leona
Gragas,Ambessa,Brand,Kai'Sa,Maokai
Gragas,Ambessa,Brand,Kai'Sa,Nautilus
Gragas,Ambessa,Brand,Kai'Sa,Rell
Gragas,Ambessa,Brand,Kai'Sa,Tahm Kench
Gragas,Ambessa,Brand,Kog'Maw,Alistar
Gragas,Ambessa,Brand,Kog'Maw,Amumu
Gragas,Ambessa,Brand,Kog'Maw,Blitzcrank
Gragas,Ambessa,Brand,Kog'Maw,Braum
Gragas,Ambessa,Brand,Kog'Maw,Leona
Gragas,Ambessa,Brand,Kog'Maw,Maokai
Gragas,Ambessa,Brand,Kog'Maw,Nautilus
Gragas,Ambessa,Brand,Kog'Maw,Rell
Gragas,Ambessa,Brand,Kog'Maw,Tahm Kench
Gragas,Ambessa,Brand,Miss Fortune,Alistar
Gragas,Ambessa,Brand,Miss Fortune,Amumu
Gragas,Ambessa,Brand,Miss Fortune,Blitzcrank
Gragas,Ambessa,Brand,Miss Fortune,Braum
Gragas,Ambessa,Brand,Miss Fortune,Leona
Gragas,Ambessa,Brand,Miss Fortune,Maokai
Gragas,Ambessa,Brand,Miss Fortune,Nautilus
Gragas,Ambessa,Brand,Miss Fortune,Rell
Gragas,Ambessa,Brand,Miss Fortune,Tahm Kench
Gragas,Ambessa,Brand,Smolder,Alistar
Gragas,Ambessa,Brand,Smolder,Amumu
Gragas,Ambessa,Brand,Smolder,Blitzcrank
Gragas,Ambessa,Brand,Smolder,Braum
Gragas,Ambessa,Brand,Smolder,Leona
Gragas,Ambessa,Brand,Smolder,Maokai
Gragas,Ambessa,Brand,Smolder,Nautilus
Gragas,Ambessa,Brand,Smolder,Rell
Gragas,Ambessa,Brand,Smolder,Tahm Kench
Gragas,Ambessa,Brand,Teemo,Alistar
Gragas,Ambessa,Brand,Teemo,Amumu
Gragas,Ambessa,Brand,Teemo,Blitzcrank
Gragas,Ambessa,Brand,Teemo,Braum
Gragas,Ambessa,Brand,Teemo,Leona
Gragas,Ambessa,Brand,Teemo,Maokai
Gragas,Ambessa,Brand,Teemo,Nautilus
Gragas,Ambessa,Brand,Teemo,Rell
Gragas,Ambessa,Brand,Teemo,Tahm Kench
Gragas,Ambessa,Brand,Varus,Alistar
Gragas,Ambessa,Brand,Varus,Amumu
Gragas,Ambessa,Brand,Varus,Blitzcrank
Gragas,Ambessa,Brand,Varus,Braum
Gragas,Ambessa,Brand,Varus,Leona
Gragas,Ambessa,Brand,Varus,Maokai
Gragas,Ambessa,Brand,Varus,Nautilus
Gragas,Ambessa,Brand,Varus,Rell
Gragas,Ambessa,Brand,Varus,Tahm Kench
Gragas,Ambessa,Fiddlesticks,Corki,Alistar
Gragas,Ambessa,Fiddlesticks,Corki,Amumu
Gragas,Ambessa,Fiddlesticks,Corki,Blitzcrank
Gragas,Ambessa,Fiddlesticks,Corki,Braum
Gragas,Ambessa,Fiddlesticks,Corki,Leona
Gragas,Ambessa,Fiddlesticks,Corki,Maokai
Gragas,Ambessa,Fiddlesticks,Corki,Nautilus
Gragas,Ambessa,Fiddlesticks,Corki,Rell
Gragas,Ambessa,Fiddlesticks,Corki,Tahm Kench
Gragas,Ambessa,Fiddlesticks,Ezreal,Alistar
Gragas,Ambessa,Fiddlesticks,Ezreal,Amumu
Gragas,Ambessa,Fiddlesticks,Ezreal,Blitzcrank
Gragas,Ambessa,Fiddlesticks,Ezreal,Braum
Gragas,Ambessa,Fiddlesticks,Ezreal,Leona
Gragas,Ambessa,Fiddlesticks,Ezreal,Maokai
Gragas,Ambessa,Fiddlesticks,Ezreal,Nautilus
Gragas,Ambessa,Fiddlesticks,Ezreal,Rell
Gragas,Ambessa,Fiddlesticks,Ezreal,Tahm Kench
Gragas,Ambessa,Fiddlesticks,Jhin,Alistar
Gragas,Ambessa,Fiddlesticks,Jhin,Amumu
Gragas,Ambessa,Fiddlesticks,Jhin,Blitzcrank
Gragas,Ambessa,Fiddlesticks,Jhin,Braum
Gragas,Ambessa,Fiddlesticks,Jhin,Leona
Gragas,Ambessa,Fiddlesticks,Jhin,Maokai
Gragas,Ambessa,Fiddlesticks,Jhin,Nautilus
Gragas,Ambessa,Fiddlesticks,Jhin,Rell
Gragas,Ambessa,Fiddlesticks,Jhin,Tahm Kench
Gragas,Ambessa,Fiddlesticks,Kai'Sa,Alistar
Gragas,Ambessa,Fiddlesticks,Kai'Sa,Amumu
Gragas,Ambessa,Fiddlesticks,Kai'Sa,Blitzcrank
Gragas,Ambessa,Fiddlesticks,Kai'Sa,Braum
Gragas,Ambessa,Fiddlesticks,Kai'Sa,Leona
Gragas,Ambessa,Fiddlesticks,Kai'Sa,Maokai
Gragas,Ambessa,Fiddlesticks,Kai'Sa,Nautilus
Gragas,Ambessa,Fiddlesticks,Kai'Sa,Rell
Gragas,Ambessa,Fiddlesticks,Kai'Sa,Tahm Kench
Gragas,Ambessa,Fiddlesticks,Kog'Maw,Alistar
Gragas,Ambessa,Fiddlesticks,Kog'Maw,Amumu
Gragas,Ambessa,Fiddlesticks,Kog'Maw,Blitzcrank
Gragas,Ambessa,Fiddlesticks,Kog'Maw,Braum
Gragas,Ambessa,Fiddlesticks,Kog'Maw,Leona
Gragas,Ambessa,Fiddlesticks,Kog'Maw,Maokai
Gragas,Ambessa,Fiddlesticks,Kog'Maw,Nautilus
Gragas,Ambessa,Fiddlesticks,Kog'Maw,Rell
Gragas,Ambessa,Fiddlesticks,Kog'Maw,Tahm Kench
Gragas,Ambessa,Fiddlesticks,Miss Fortune,Alistar
Gragas,Ambessa,Fiddlesticks,Miss Fortune,Amumu
Gragas,Ambessa,Fiddlesticks,Miss Fortune,Blitzcrank
Gragas,Ambessa,Fiddlesticks,Miss Fortune,Braum
Gragas,Ambessa,Fiddlesticks,Miss Fortune,Leona
Gragas,Ambessa,Fiddlesticks,Miss Fortune,Maokai
Gragas,Ambessa,Fiddlesticks,Miss Fortune,Nautilus
Gragas,Ambessa,Fiddlesticks,Miss Fortune,Rell
Gragas,Ambessa,Fiddlesticks,Miss Fortune,Tahm Kench
Gragas,Ambessa,Fiddlesticks,Smolder,Alistar
Gragas,Ambessa,Fiddlesticks,Smolder,Amumu
Gragas,Ambessa,Fiddlesticks,Smolder,Blitzcrank
Gragas,Ambessa,Fiddlesticks,Smolder,Braum
Gragas,Ambessa,Fiddlesticks,Smolder,Leona
Gragas,Ambessa,Fiddlesticks,Smolder,Maokai
Gragas,Ambessa,Fiddlesticks,Smolder,Nautilus
Gragas,Ambessa,Fiddlesticks,Smolder,Rell
Gragas,Ambessa,Fiddlesticks,Smolder,Tahm Kench
Gragas,Ambessa,Fiddlesticks,Teemo,Alistar
Gragas,Ambessa,Fiddlesticks,Teemo,Amumu
Gragas,Ambessa,Fiddlesticks,Teemo,Blitzcrank
Gragas,Ambessa,Fiddlesticks,Teemo,Braum
Gragas,Ambessa,Fiddlesticks,Teemo,Leona
Gragas,Ambessa,Fiddlesticks,Teemo,Maokai
Gragas,Ambessa,Fiddlesticks,Teemo,Nautilus
Gragas,Ambessa,Fiddlesticks,Teemo,Rell
Gragas,Ambessa,Fiddlesticks,Teemo,Tahm Kench
Gragas,Ambessa,Fiddlesticks,Varus,Alistar
Gragas,Ambessa,Fiddlesticks,Varus,Amumu
Gragas,Ambessa,Fiddlesticks,Varus,Blitzcrank
Gragas,Ambessa,Fiddlesticks,Varus,Braum
Gragas,Ambessa,Fiddlesticks,Varus,Leona
Gragas,Ambessa,Fiddlesticks,Varus,Maokai
Gragas,Ambessa,Fiddlesticks,Varus,Nautilus
Gragas,Ambessa,Fiddlesticks,Varus,Rell
Gragas,Ambessa,Fiddlesticks,Varus,Tahm Kench
Gragas,Ambessa,Heimerdinger,Corki,Alistar
Gragas,Ambessa,Heimerdinger,Corki,Amumu
Gragas,Ambessa,Heimerdinger,Corki,Blitzcrank
Gragas,Ambessa,Heimerdinger,Corki,Braum
Gragas,Ambessa,Heimerdinger,Corki,Leona
Gragas,Ambessa,Heimerdinger,Corki,Maokai
Gragas,Ambessa,Heimerdinger,Corki,Nautilus
Gragas,Ambessa,Heimerdinger,Corki,Rell
Gragas,Ambessa,Heimerdinger,Corki,Tahm Kench
Gragas,Ambessa,Heimerdinger,Ezreal,Alistar
Gragas,Ambessa,Heimerdinger,Ezreal,Amumu
Gragas,Ambessa,Heimerdinger,Ezreal,Blitzcrank
Gragas,Ambessa,Heimerdinger,Ezreal,Braum
Gragas,Ambessa,Heimerdinger,Ezreal,Leona
Gragas,Ambessa,Heimerdinger,Ezreal,Maokai
Gragas,Ambessa,Heimerdinger,Ezreal,Nautilus
Gragas,Ambessa,Heimerdinger,Ezreal,Rell
Gragas,Ambessa,Heimerdinger,Ezreal,Tahm Kench
Gragas,Ambessa,Heimerdinger,Jhin,Alistar
Gragas,Ambessa,Heimerdinger,Jhin,Amumu
Gragas,Ambessa,Heimerdinger,Jhin,Blitzcrank
Gragas,Ambessa,Heimerdinger,Jhin,Braum
Gragas,Ambessa,Heimerdinger,Jhin,Leona
Gragas,Ambessa,Heimerdinger,Jhin,Maokai
Gragas,Ambessa,Heimerdinger,Jhin,Nautilus
Gragas,Ambessa,Heimerdinger,Jhin,Rell
Gragas,Ambessa,Heimerdinger,Jhin,Tahm Kench
Gragas,Ambessa,Heimerdinger,Kai'Sa,Alistar
Gragas,Ambessa,Heimerdinger,Kai'Sa,Amumu
Gragas,Ambessa,Heimerdinger,Kai'Sa,Blitzcrank
Gragas,Ambessa,Heimerdinger,Kai'Sa,Braum
Gragas,Ambessa,Heimerdinger,Kai'Sa,Leona
Gragas,Ambessa,Heimerdinger,Kai'Sa,Maokai
Gragas,Ambessa,Heimerdinger,Kai'Sa,Nautilus
Gragas,Ambessa,Heimerdinger,Kai'Sa,Rell
Gragas,Ambessa,Heimerdinger,Kai'Sa,Tahm Kench
Gragas,Ambessa,Heimerdinger,Kog'Maw,Alistar
Gragas,Ambessa,Heimerdinger,Kog'Maw,Amumu
Gragas,Ambessa,Heimerdinger,Kog'Maw,Blitzcrank
Gragas,Ambessa,Heimerdinger,Kog'Maw,Braum
Gragas,Ambessa,Heimerdinger,Kog'Maw,Leona
Gragas,Ambessa,Heimerdinger,Kog'Maw,Maokai
Gragas,Ambessa,Heimerdinger,Kog'Maw,Nautilus
Gragas,Ambessa,Heimerdinger,Kog'Maw,Rell
Gragas,Ambessa,Heimerdinger,Kog'Maw,Tahm Kench
Gragas,Ambessa,Heimerdinger,Miss Fortune,Alistar
Gragas,Ambessa,Heimerdinger,Miss Fortune,Amumu
Gragas,Ambessa,Heimerdinger,Miss Fortune,Blitzcrank
Gragas,Ambessa,Heimerdinger,Miss Fortune,Braum
Gragas,Ambessa,Heimerdinger,Miss Fortune,Leona
Gragas,Ambessa,Heimerdinger,Miss Fortune,Maokai
Gragas,Ambessa,Heimerdinger,Miss Fortune,Nautilus
Gragas,Ambessa,Heimerdinger,Miss Fortune,Rell
Gragas,Ambessa,Heimerdinger,Miss Fortune,Tahm Kench
Gragas,Ambessa,Heimerdinger,Smolder,Alistar
Gragas,Ambessa,Heimerdinger,Smolder,Amumu
Gragas,Ambessa,Heimerdinger,Smolder,Blitzcrank
Gragas,Ambessa,Heimerdinger,Smolder,Braum
Gragas,Ambessa,Heimerdinger,Smolder,Leona
Gragas,Ambessa,Heimerdinger,Smolder,Maokai
Gragas,Ambessa,Heimerdinger,Smolder,Nautilus
Gragas,Ambessa,Heimerdinger,Smolder,Rell
Gragas,Ambessa,Heimerdinger,Smolder,Tahm Kench
Gragas,Ambessa,Heimerdinger,Teemo,Alistar
Gragas,Ambessa,Heimerdinger,Teemo,Amumu
Gragas,Ambessa,Heimerdinger,Teemo,Blitzcrank
Gragas,Ambessa,Heimerdinger,Teemo,Braum
Gragas,Ambessa,Heimerdinger,Teemo,Leona
Gragas,Ambessa,Heimerdinger,Teemo,Maokai
Gragas,Ambessa,Heimerdinger,Teemo,Nautilus
Gragas,Ambessa,Heimerdinger,Teemo,Rell
Gragas,Ambessa,Heimerdinger,Teemo,Tahm Kench
Gragas,Ambessa,Heimerdinger,Varus,Alistar
Gragas,Ambessa,Heimerdinger,Varus,Amumu
Gragas,Ambessa,Heimerdinger,Varus,Blitzcrank
Gragas,Ambessa,Heimerdinger,Varus,Braum
Gragas,Ambessa,Heimerdinger,Varus,Leona
Gragas,Ambessa,Heimerdinger,Varus,Maokai
Gragas,Ambessa,Heimerdinger,Varus,Nautilus
Gragas,Ambessa,Heimerdinger,Varus,Rell
Gragas,Ambessa,Heimerdinger,Varus,Tahm Kench
Gragas,Ambessa,Hwei,Corki,Alistar
Gragas,Ambessa,Hwei,Corki,Amumu
Gragas,Ambessa,Hwei,Corki,Blitzcrank
Gragas,Ambessa,Hwei,Corki,Braum
Gragas,Ambessa,Hwei,Corki,Leona
Gragas,Ambessa,Hwei,Corki,Maokai
Gragas,Ambessa,Hwei,Corki,Nautilus
Gragas,Ambessa,Hwei,Corki,Rell
Gragas,Ambessa,Hwei,Corki,Tahm Kench
Gragas,Ambessa,Hwei,Ezreal,Alistar
Gragas,Ambessa,Hwei,Ezreal,Amumu
Gragas,Ambessa,Hwei,Ezreal,Blitzcrank
Gragas,Ambessa,Hwei,Ezreal,Braum
Gragas,Ambessa,Hwei,Ezreal,Leona
Gragas,Ambessa,Hwei,Ezreal,Maokai
Gragas,Ambessa,Hwei,Ezreal,Nautilus
Gragas,Ambessa,Hwei,Ezreal,Rell
Gragas,Ambessa,Hwei,Ezreal,Tahm Kench
Gragas,Ambessa,Hwei,Jhin,Alistar
Gragas,Ambessa,Hwei,Jhin,Amumu
Gragas,Ambessa,Hwei,Jhin,Blitzcrank
Gragas,Ambessa,Hwei,Jhin,Braum
Gragas,Ambessa,Hwei,Jhin,Leona
Gragas,Ambessa,Hwei,Jhin,Maokai
Gragas,Ambessa,Hwei,Jhin,Nautilus
Gragas,Ambessa,Hwei,Jhin,Rell
Gragas,Ambessa,Hwei,Jhin,Tahm Kench
Gragas,Ambessa,Hwei,Kai'Sa,Alistar
Gragas,Ambessa,Hwei,Kai'Sa,Amumu
Gragas,Ambessa,Hwei,Kai'Sa,Blitzcrank
Gragas,Ambessa,Hwei,Kai'Sa,Braum
Gragas,Ambessa,Hwei,Kai'Sa,Leona
Gragas,Ambessa,Hwei,Kai'Sa,Maokai
Gragas,Ambessa,Hwei,Kai'Sa,Nautilus
Gragas,Ambessa,Hwei,Kai'Sa,Rell
Gragas,Ambessa,Hwei,Kai'Sa,Tahm Kench
Gragas,Ambessa,Hwei,Kog'Maw,Alistar
Gragas,Ambessa,Hwei,Kog'Maw,Amumu
Gragas,Ambessa,Hwei,Kog'Maw,Blitzcrank
Gragas,Ambessa,Hwei,Kog'Maw,Braum
Gragas,Ambessa,Hwei,Kog'Maw,Leona
Gragas,Ambessa,Hwei,Kog'Maw,Maokai
Gragas,Ambessa,Hwei,Kog'Maw,Nautilus
Gragas,Ambessa,Hwei,Kog'Maw,Rell
Gragas,Ambessa,Hwei,Kog'Maw,Tahm Kench
Gragas,Ambessa,Hwei,Miss Fortune,Alistar
Gragas,Ambessa,Hwei,Miss Fortune,Amumu
Gragas,Ambessa,Hwei,Miss Fortune,Blitzcrank
Gragas,Ambessa,Hwei,Miss Fortune,Braum
Gragas,Ambessa,Hwei,Miss Fortune,Leona
Gragas,Ambessa,Hwei,Miss Fortune,Maokai
Gragas,Ambessa,Hwei,Miss Fortune,Nautilus
Gragas,Ambessa,Hwei,Miss Fortune,Rell
Gragas,Ambessa,Hwei,Miss Fortune,Tahm Kench
Gragas,Ambessa,Hwei,Smolder,Alistar
Gragas,Ambessa,Hwei,Smolder,Amumu
Gragas,Ambessa,Hwei,Smolder,Blitzcrank
Gragas,Ambessa,Hwei,Smolder,Braum
Gragas,Ambessa,Hwei,Smolder,Leona
Gragas,Ambessa,Hwei,Smolder,Maokai
Gragas,Ambessa,Hwei,Smolder,Nautilus
Gragas,Ambessa,Hwei,Smolder,Rell
Gragas,Ambessa,Hwei,Smolder,Tahm Kench
Gragas,Ambessa,Hwei,Teemo,Alistar
Gragas,Ambessa,Hwei,Teemo,Amumu
Gragas,Ambessa,Hwei,Teemo,Blitzcrank
Gragas,Ambessa,Hwei,Teemo,Braum
Gragas,Ambessa,Hwei,Teemo,Leona
Gragas,Ambessa,Hwei,Teemo,Maokai
Gragas,Ambessa,Hwei,Teemo,Nautilus
Gragas,Ambessa,Hwei,Teemo,Rell
Gragas,Ambessa,Hwei,Teemo,Tahm Kench
Gragas,Ambessa,Hwei,Varus,Alistar
Gragas,Ambessa,Hwei,Varus,Amumu
Gragas,Ambessa,Hwei,Varus,Blitzcrank
Gragas,Ambessa,Hwei,Varus,Braum
Gragas,Ambessa,Hwei,Varus,Leona
Gragas,Ambessa,Hwei,Varus,Maokai
Gragas,Ambessa,Hwei,Varus,Nautilus
Gragas,Ambessa,Hwei,Varus,Rell
Gragas,Ambessa,Hwei,Varus,Tahm Kench
Gragas,Ambessa,Karma,Corki,Alistar
Gragas,Ambessa,Karma,Corki,Amumu
Gragas,Ambessa,Karma,Corki,Blitzcrank
Gragas,Ambessa,Karma,Corki,Braum
Gragas,Ambessa,Karma,Corki,Leona
Gragas,Ambessa,Karma,Corki,Maokai
Gragas,Ambessa,Karma,Corki,Nautilus
Gragas,Ambessa,Karma,Corki,Rell
Gragas,Ambessa,Karma,Corki,Tahm Kench
Gragas,Ambessa,Karma,Ezreal,Alistar
Gragas,Ambessa,Karma,Ezreal,Amumu
Gragas,Ambessa,Karma,Ezreal,Blitzcrank
Gragas,Ambessa,Karma,Ezreal,Braum
Gragas,Ambessa,Karma,Ezreal,Leona
Gragas,Ambessa,Karma,Ezreal,Maokai
Gragas,Ambessa,Karma,Ezreal,Nautilus
Gragas,Ambessa,Karma,Ezreal,Rell
Gragas,Ambessa,Karma,Ezreal,Tahm Kench
Gragas,Ambessa,Karma,Jhin,Alistar
Gragas,Ambessa,Karma,Jhin,Amumu
Gragas,Ambessa,Karma,Jhin,Blitzcrank
Gragas,Ambessa,Karma,Jhin,Braum
Gragas,Ambessa,Karma,Jhin,Leona
Gragas,Ambessa,Karma,Jhin,Maokai
Gragas,Ambessa,Karma,Jhin,Nautilus
Gragas,Ambessa,Karma,Jhin,Rell
Gragas,Ambessa,Karma,Jhin,Tahm Kench
Gragas,Ambessa,Karma,Kai'Sa,Alistar
Gragas,Ambessa,Karma,Kai'Sa,Amumu
Gragas,Ambessa,Karma,Kai'Sa,Blitzcrank
Gragas,Ambessa,Karma,Kai'Sa,Braum
Gragas,Ambessa,Karma,Kai'Sa,Leona
Gragas,Ambessa,Karma,Kai'Sa,Maokai
Gragas,Ambessa,Karma,Kai'Sa,Nautilus
Gragas,Ambessa,Karma,Kai'Sa,Rell
Gragas,Ambessa,Karma,Kai'Sa,Tahm Kench
Gragas,Ambessa,Karma,Kog'Maw,Alistar
Gragas,Ambessa,Karma,Kog'Maw,Amumu
Gragas,Ambessa,Karma,Kog'Maw,Blitzcrank
Gragas,Ambessa,Karma,Kog'Maw,Braum
Gragas,Ambessa,Karma,Kog'Maw,Leona
Gragas,Ambessa,Karma,Kog'Maw,Maokai
Gragas,Ambessa,Karma,Kog'Maw,Nautilus
Gragas,Ambessa,Karma,Kog'Maw,Rell
Gragas,Ambessa,Karma,Kog'Maw,Tahm Kench
Gragas,Ambessa,Karma,Miss Fortune,Alistar
Gragas,Ambessa,Karma,Miss Fortune,Amumu
Gragas,Ambessa,Karma,Miss Fortune,Blitzcrank
Gragas,Ambessa,Karma,Miss Fortune,Braum
Gragas,Ambessa,Karma,Miss Fortune,Leona
Gragas,Ambessa,Karma,Miss Fortune,Maokai
Gragas,Ambessa,Karma,Miss Fortune,Nautilus
Gragas,Ambessa,Karma,Miss Fortune,Rell
Gragas,Ambessa,Karma,Miss Fortune,Tahm Kench
Gragas,Ambessa,Karma,Smolder,Alistar
Gragas,Ambessa,Karma,Smolder,Amumu
Gragas,Ambessa,Karma,Smolder,Blitzcrank
Gragas,Ambessa,Karma,Smolder,Braum
Gragas,Ambessa,Karma,Smolder,Leona
Gragas,Ambessa,Karma,Smolder,Maokai
Gragas,Ambessa,Karma,Smolder,Nautilus
Gragas,Ambessa,Karma,Smolder,Rell
Gragas,Ambessa,Karma,Smolder,Tahm Kench
Gragas,Ambessa,Karma,Teemo,Alistar
Gragas,Ambessa,Karma,Teemo,Amumu
Gragas,Ambessa,Karma,Teemo,Blitzcrank
Gragas,Ambessa,Karma,Teemo,Braum
Gragas,Ambessa,Karma,Teemo,Leona
Gragas,Ambessa,Karma,Teemo,Maokai
Gragas,Ambessa,Karma,Teemo,Nautilus
Gragas,Ambessa,Karma,Teemo,Rell
Gragas,Ambessa,Karma,Teemo,Tahm Kench
Gragas,Ambessa,Karma,Varus,Alistar
Gragas,Ambessa,Karma,Varus,Amumu
Gragas,Ambessa,Karma,Varus,Blitzcrank
Gragas,Ambessa,Karma,Varus,Braum
Gragas,Ambessa,Karma,Varus,Leona
Gragas,Ambessa,Karma,Varus,Maokai
Gragas,Ambessa,Karma,Varus,Nautilus
Gragas,Ambessa,Karma,Varus,Rell
Gragas,Ambessa,Karma,Varus,Tahm Kench
Gragas,Ambessa,Lux,Corki,Alistar
Gragas,Ambessa,Lux,Corki,Amumu
Gragas,Ambessa,Lux,Corki,Blitzcrank
Gragas,Ambessa,Lux,Corki,Braum
Gragas,Ambessa,Lux,Corki,Leona
Gragas,Ambessa,Lux,Corki,Maokai
Gragas,Ambessa,Lux,Corki,Nautilus
Gragas,Ambessa,Lux,Corki,Rell
Gragas,Ambessa,Lux,Corki,Tahm Kench
Gragas,Ambessa,Lux,Ezreal,Alistar
Gragas,Ambessa,Lux,Ezreal,Amumu
Gragas,Ambessa,Lux,Ezreal,Blitzcrank
Gragas,Ambessa,Lux,Ezreal,Braum
Gragas,Ambessa,Lux,Ezreal,Leona
